N,random,reverse,almost
500,36,61,80
1000,79,148,172
1500,122,230,286
2000,171,305,380
2500,212,405,498
3000,263,484,605
3500,316,569,708
4000,365,654,807
4500,428,776,955
5000,473,857,1072
5500,534,964,1180
6000,604,1113,1271
6500,637,1138,1381
7000,681,1223,1262
7500,745,1410,1613
8000,800,1411,1719
8500,857,1552,1906
9000,912,1757,2031
9500,966,1791,1903
10000,1059,1841,2269
10500,1093,1941,2422
11000,1183,2173,2491
11500,1202,2132,2644
12000,1267,2231,2758
12500,1321,2323,2868
13000,1420,2411,2979
13500,1462,2515,3109
14000,1491,2605,3236
14500,1590,2709,3373
15000,1687,2805,3461
15500,1690,3099,3538
16000,1706,3000,3661
16500,1777,3207,4035
17000,1861,3304,4071
17500,1861,3387,4253
18000,1982,3477,4305
18500,2148,3601,4508
19000,2198,3689,4588
19500,2222,3802,4720
20000,2187,4060,4841
20500,2352,3994,4930
21000,2292,4382,5147
21500,2375,4310,5307
22000,2408,4294,5308
22500,2539,4713,5451
23000,2616,4835,5710
23500,2643,4614,5674
24000,2900,4703,5871
24500,2885,5166,6078
25000,2921,5241,6193
25500,2684,4785,6049
26000,2797,4885,6055
26500,2838,4962,6102
27000,2842,5078,6419
27500,3049,5163,6463
28000,3059,5294,6739
28500,3296,5649,7056
29000,3360,5528,6904
29500,3271,5579,6888
30000,3313,5674,7197
30500,3424,5736,7228
31000,3436,5874,7509
31500,3460,5977,7483
32000,3514,6354,7359
32500,3680,6485,8227
33000,4131,6520,8066
33500,3597,6531,8125
34000,3719,6657,8421
34500,3805,6754,8524
35000,3711,6840,8676
35500,4009,6946,8786
36000,3873,7063,8880
36500,4176,7157,9036
37000,4154,7270,9108
37500,4344,7361,9175
38000,4189,7439,9288
38500,4276,8135,9436
39000,4411,7958,9669
39500,4452,8342,9826
40000,4427,7862,9994
40500,4633,8556,10091
41000,4610,8024,10196
41500,4614,8372,10448
42000,5064,8273,10356
42500,4755,8382,10594
43000,4849,8625,10587
43500,4761,8577,10894
44000,5058,8699,10999
44500,5381,8846,11130
45000,4988,8897,11262
45500,4999,8963,11395
46000,5119,9242,11428
46500,5412,9213,11604
47000,5319,9488,11670
47500,5668,9418,11688
48000,5376,9513,11879
48500,5626,9778,12169
49000,5415,9708,12118
49500,5413,9908,12380
50000,5528,9936,12548
50500,5867,10023,12507
51000,5790,10189,12689
51500,5992,10247,12730
52000,5885,10347,12895
52500,5989,10449,13208
53000,6045,10556,13326
53500,5956,10630,13423
54000,6151,11161,13583
54500,6028,11658,13643
55000,6422,10947,13644
55500,6454,11815,13903
56000,6358,11174,14093
56500,6601,11252,14119
57000,6342,11375,14340
57500,6451,11479,14256
58000,6772,11553,14608
58500,6569,11723,14510
59000,6895,12573,14845
59500,6901,11884,14715
60000,6861,11968,14891
60500,7218,12101,15040
61000,7015,12194,15342
61500,7021,12311,15459
62000,7063,13108,15590
62500,7213,12504,15774
63000,7352,12772,15900
63500,7492,12743,15798
64000,7331,12934,16184
64500,7421,12874,16303
65000,7480,14118,16416
65500,7644,13315,16676
66000,7926,14616,16987
66500,7407,13726,17435
67000,7890,13822,17548
67500,8129,13921,17248
68000,7593,15008,17827
68500,8055,14164,18291
69000,7998,14296,18132
69500,7769,14516,18129
70000,7954,15523,18359
70500,8267,14523,18200
71000,7785,14667,18618
71500,8190,16054,18762
72000,8274,14882,18455
72500,8552,14957,19012
73000,8038,15120,18793
73500,8696,15351,19347
74000,8750,15308,19452
74500,8758,15381,19460
75000,8694,16666,19549
75500,8805,17425,19559
76000,8858,15994,20259
76500,8927,15829,20313
77000,8790,16456,20631
77500,9158,16554,20225
78000,9095,17584,20685
78500,9240,16788,21050
79000,9266,17898,21060
79500,9069,17144,21108
80000,8929,17276,21372
80500,9259,17569,21532
81000,9298,17677,21803
81500,9625,18079,22113
82000,9847,17250,22697
82500,9676,18332,22378
83000,9565,17796,22330
83500,9838,18132,22535
84000,9488,18318,22405
84500,10111,18848,23453
85000,9431,17882,23287
85500,10136,19462,22870
86000,10361,18296,23716
86500,10182,19643,23406
87000,10898,19439,23875
87500,10153,19662,23634
88000,10748,18833,24060
88500,10367,20405,23172
89000,10915,18791,24143
89500,10625,20416,24145
90000,10883,19170,24459
90500,10572,20891,24367
91000,11016,19246,25213
91500,10492,20007,25228
92000,10555,20113,24500
92500,11027,19516,25088
93000,10694,20184,24986
93500,10869,20289,25457
94000,11261,21417,24689
94500,11353,21557,25362
95000,10926,20521,25924
95500,11127,21745,25312
96000,11096,20773,26497
96500,11203,20970,26140
97000,11325,21082,26087
97500,11286,21940,25898
98000,11867,20821,26173
98500,11747,21934,27052
99000,11178,21705,26726
99500,11805,21744,26880
100000,11926,21638,26998
